sentence,translation,translation_extra,messages
All sat frozen and watched the screen.,"The screen, all sat frozen and watched.","The screen, all sat frozen and watched. Hmm.","[{'content': 'All sat frozen and watched the screen.', 'role': 'user'}
 {'content': 'The screen, all sat frozen and watched.', 'role': 'assistant'}
 {'content': 'The screen, all sat frozen and watched. Hmm.', 'role': 'assistant'}]"
To send it. now in large amounts is bad.,"To send it now in large amounts, bad it is.","It to send. To send it now in large amounts, bad it is. Hmm.","[{'content': 'To send it. now in large amounts is bad.', 'role': 'user'}
 {'content': 'To send it now in large amounts, bad it is.', 'role': 'assistant'}
 {'content': 'It to send. To send it now in large amounts, bad it is. Hmm.', 'role': 'assistant'}]"
These pills do less good than others.,"Do less good than others, these pills do.","Do less good than others, these pills do.","[{'content': 'These pills do less good than others.', 'role': 'user'}
 {'content': 'Do less good than others, these pills do.', 'role': 'assistant'}
 {'content': 'Do less good than others, these pills do.', 'role': 'assistant'}]"
The jacket hung on the back of the wide chair.,"On the back of the wide chair, the jacket hung.","On the back of the wide chair, the jacket hung. Yrsssss.","[{'content': 'The jacket hung on the back of the wide chair.', 'role': 'user'}
 {'content': 'On the back of the wide chair, the jacket hung.', 'role': 'assistant'}
 {'content': 'On the back of the wide chair, the jacket hung. Yrsssss.', 'role': 'assistant'}]"
The lease ran out in sixteen weeks.,"In sixteen weeks, the lease ran out.","In sixteen weeks, the lease ran out.","[{'content': 'The lease ran out in sixteen weeks.', 'role': 'user'}
 {'content': 'In sixteen weeks, the lease ran out.', 'role': 'assistant'}
 {'content': 'In sixteen weeks, the lease ran out.', 'role': 'assistant'}]"
Pour the stew from the pot into the plate.,"From the pot into the plate, pour the stew, you must.","From the pot into the plate, pour the stew, you must.","[{'content': 'Pour the stew from the pot into the plate.', 'role': 'user'}
 {'content': 'From the pot into the plate, pour the stew, you must.', 'role': 'assistant'}
 {'content': 'From the pot into the plate, pour the stew, you must.', 'role': 'assistant'}]"
The brown house was on fire to the attic.,"To the attic, the brown house on fire was.","To the attic, the brown house on fire was. Hmm.","[{'content': 'The brown house was on fire to the attic.', 'role': 'user'}
 {'content': 'To the attic, the brown house on fire was.', 'role': 'assistant'}
 {'content': 'To the attic, the brown house on fire was. Hmm.', 'role': 'assistant'}]"
Our troops are set to strike heavy blows.,"Set to strike heavy blows, our troops are.","Set to strike heavy blows, our troops are. Yrsssss.","[{'content': 'Our troops are set to strike heavy blows.', 'role': 'user'}
 {'content': 'Set to strike heavy blows, our troops are.', 'role': 'assistant'}
 {'content': 'Set to strike heavy blows, our troops are. Yrsssss.', 'role': 'assistant'}]"
The farmer swapped his horse for a brown ox.,"His horse for a brown ox, the farmer swapped.","His horse for a brown ox, the farmer swapped.","[{'content': 'The farmer swapped his horse for a brown ox.', 'role': 'user'}
 {'content': 'His horse for a brown ox, the farmer swapped.', 'role': 'assistant'}
 {'content': 'His horse for a brown ox, the farmer swapped.', 'role': 'assistant'}]"
The best method is to fix it in place with clips.,"Fix it in place with clips, the best method is.","Fix it in place with clips, the best method is. Hmm.","[{'content': 'The best method is to fix it in place with clips.', 'role': 'user'}
 {'content': 'Fix it in place with clips, the best method is.', 'role': 'assistant'}
 {'content': 'Fix it in place with clips, the best method is. Hmm.', 'role': 'assistant'}]"
The tiny girl took off her hat.,"Off her hat, the tiny girl took.","Off her hat, the tiny girl took. Hrmmm.","[{'content': 'The tiny girl took off her hat.', 'role': 'user'}
 {'content': 'Off her hat, the tiny girl took.', 'role': 'assistant'}
 {'content': 'Off her hat, the tiny girl took. Hrmmm.', 'role': 'assistant'}]"
The big red apple fell to the ground.,"To the ground, the big red apple fell.","To the ground, the big red apple fell.","[{'content': 'The big red apple fell to the ground.', 'role': 'user'}
 {'content': 'To the ground, the big red apple fell.', 'role': 'assistant'}
 {'content': 'To the ground, the big red apple fell.', 'role': 'assistant'}]"
Watch the log float in the wide river.,"Float in the wide river, watch the log, you must.","Hrrmmm. Float in the wide river, watch the log, you must.","[{'content': 'Watch the log float in the wide river.', 'role': 'user'}
 {'content': 'Float in the wide river, watch the log, you must.', 'role': 'assistant'}
 {'content': 'Hrrmmm. Float in the wide river, watch the log, you must.', 'role': 'assistant'}]"
The heap of fallen leaves was set on fire.,"Set on fire, the heap of fallen leaves was.","Hrrmmm. Set on fire, the heap of fallen leaves was.","[{'content': 'The heap of fallen leaves was set on fire.', 'role': 'user'}
 {'content': 'Set on fire, the heap of fallen leaves was.', 'role': 'assistant'}
 {'content': 'Hrrmmm. Set on fire, the heap of fallen leaves was.', 'role': 'assistant'}]"
The map had an X that meant nothing.,"An X that meant nothing, the map had.","Hrrmmm. An X that meant nothing, the map had. Yes, hrrrm.","[{'content': 'The map had an X that meant nothing.', 'role': 'user'}
 {'content': 'An X that meant nothing, the map had.', 'role': 'assistant'}
 {'content': 'Hrrmmm. An X that meant nothing, the map had. Yes, hrrrm.', 'role': 'assistant'}]"
A blue crane is a tall wading bird.,"A tall wading bird, a blue crane is.","A tall wading bird, a blue crane is.","[{'content': 'A blue crane is a tall wading bird.', 'role': 'user'}
 {'content': 'A tall wading bird, a blue crane is.', 'role': 'assistant'}
 {'content': 'A tall wading bird, a blue crane is.', 'role': 'assistant'}]"
A lame back kept his score low.,"Kept his score low, a lame back did.","Kept his score low, a lame back did.","[{'content': 'A lame back kept his score low.', 'role': 'user'}
 {'content': 'Kept his score low, a lame back did.', 'role': 'assistant'}
 {'content': 'Kept his score low, a lame back did.', 'role': 'assistant'}]"
"Three for a dime, the young peddler cried.","Three for a dime, the young peddler cried.","Three for a dime, the young peddler cried.","[{'content': 'Three for a dime, the young peddler cried.', 'role': 'user'}
 {'content': 'Three for a dime, the young peddler cried.', 'role': 'assistant'}
 {'content': 'Three for a dime, the young peddler cried.', 'role': 'assistant'}]"
It is late morning on the old wall clock.,"On the old wall clock, late morning, it is.","Hrrmmm. On the old wall clock, late morning, it is.","[{'content': 'It is late morning on the old wall clock.', 'role': 'user'}
 {'content': 'On the old wall clock, late morning, it is.', 'role': 'assistant'}
 {'content': 'Hrrmmm. On the old wall clock, late morning, it is.', 'role': 'assistant'}]"
Dig deep in the earth for pirate's gold.,"In the earth for pirate's gold, dig deep.","In the earth for pirate's gold, dig deep.","[{'content': ""Dig deep in the earth for pirate's gold."", 'role': 'user'}
 {'content': ""In the earth for pirate's gold, dig deep."", 'role': 'assistant'}
 {'content': ""In the earth for pirate's gold, dig deep."", 'role': 'assistant'}]"
The office paint was a dull sad tan.,"A dull sad tan, the office paint was.","A dull sad tan, the office paint was. Hrmmm.","[{'content': 'The office paint was a dull sad tan.', 'role': 'user'}
 {'content': 'A dull sad tan, the office paint was.', 'role': 'assistant'}
 {'content': 'A dull sad tan, the office paint was. Hrmmm.', 'role': 'assistant'}]"
Grace makes up for lack of beauty.,"For lack of beauty, grace makes up.","For lack of beauty, grace makes up.","[{'content': 'Grace makes up for lack of beauty.', 'role': 'user'}
 {'content': 'For lack of beauty, grace makes up.', 'role': 'assistant'}
 {'content': 'For lack of beauty, grace makes up.', 'role': 'assistant'}]"
The latch on the beck gate needed a nail.,"The latch on the back gate, a nail needed.","The latch on the back gate, a nail needed.","[{'content': 'The latch on the beck gate needed a nail.', 'role': 'user'}
 {'content': 'The latch on the back gate, a nail needed.', 'role': 'assistant'}
 {'content': 'The latch on the back gate, a nail needed.', 'role': 'assistant'}]"
Smile when you say nasty words.,"When nasty words you say, smile, you must.","When nasty words you say, smile, you must.","[{'content': 'Smile when you say nasty words.', 'role': 'user'}
 {'content': 'When nasty words you say, smile, you must.', 'role': 'assistant'}
 {'content': 'When nasty words you say, smile, you must.', 'role': 'assistant'}]"
Ripe pears are fit for a queen's table.,"Fit for a queen's table, ripe pears are.","Fit for a queen's table, ripe pears are.","[{'content': ""Ripe pears are fit for a queen's table."", 'role': 'user'}
 {'content': ""Fit for a queen's table, ripe pears are."", 'role': 'assistant'}
 {'content': ""Fit for a queen's table, ripe pears are."", 'role': 'assistant'}]"
He lent his coat to the tall gaunt stranger.,"His coat to the tall gaunt stranger, he lent.","His coat to the tall gaunt stranger, he lent.","[{'content': 'He lent his coat to the tall gaunt stranger.', 'role': 'user'}
 {'content': 'His coat to the tall gaunt stranger, he lent.', 'role': 'assistant'}
 {'content': 'His coat to the tall gaunt stranger, he lent.', 'role': 'assistant'}]"
"When you hear the bell, come quickly.","When the bell you hear, come quickly, you must.","Hrrmmm. When the bell you hear, come quickly, you must.","[{'content': 'When you hear the bell, come quickly.', 'role': 'user'}
 {'content': 'When the bell you hear, come quickly, you must.', 'role': 'assistant'}
 {'content': 'Hrrmmm. When the bell you hear, come quickly, you must.', 'role': 'assistant'}]"
Will you please answer that phone.,"Please answer that phone, will you?","Please answer that phone, will you? Yrsssss.","[{'content': 'Will you please answer that phone.', 'role': 'user'}
 {'content': 'Please answer that phone, will you?', 'role': 'assistant'}
 {'content': 'Please answer that phone, will you? Yrsssss.', 'role': 'assistant'}]"
To reach the end he needs much courage.,"To reach the end, much courage he needs.","To reach the end, much courage he needs.","[{'content': 'To reach the end he needs much courage.', 'role': 'user'}
 {'content': 'To reach the end, much courage he needs.', 'role': 'assistant'}
 {'content': 'To reach the end, much courage he needs.', 'role': 'assistant'}]"
A zestful food is the hot-cross bun.,"The hot-cross bun, a zestful food it is.","The hot-cross bun, a zestful food it is. Yes, hrrrm.","[{'content': 'A zestful food is the hot-cross bun.', 'role': 'user'}
 {'content': 'The hot-cross bun, a zestful food it is.', 'role': 'assistant'}
 {'content': 'The hot-cross bun, a zestful food it is. Yes, hrrrm.', 'role': 'assistant'}]"
Our plans right now are hazy.,"Right now, hazy, our plans are.","Right now, hazy, our plans are. Yes, hrrmmm.","[{'content': 'Our plans right now are hazy.', 'role': 'user'}
 {'content': 'Right now, hazy, our plans are.', 'role': 'assistant'}
 {'content': 'Right now, hazy, our plans are. Yes, hrrmmm.', 'role': 'assistant'}]"
The bill was paid every third week.,"Every third week, the bill paid was.","Every third week, the bill paid was. Yrsssss.","[{'content': 'The bill was paid every third week.', 'role': 'user'}
 {'content': 'Every third week, the bill paid was.', 'role': 'assistant'}
 {'content': 'Every third week, the bill paid was. Yrsssss.', 'role': 'assistant'}]"
Port is a strong wine with s smoky taste.,"With a smoky taste, port a strong wine is.","With a smoky taste, port a strong wine is.","[{'content': 'Port is a strong wine with s smoky taste.', 'role': 'user'}
 {'content': 'With a smoky taste, port a strong wine is.', 'role': 'assistant'}
 {'content': 'With a smoky taste, port a strong wine is.', 'role': 'assistant'}]"
The bills were mailed promptly on the tenth of the month.,"Promptly on the tenth of the month, the bills were mailed.","Promptly on the tenth of the month, the bills were mailed.","[{'content': 'The bills were mailed promptly on the tenth of the month.', 'role': 'user'}
 {'content': 'Promptly on the tenth of the month, the bills were mailed.', 'role': 'assistant'}
 {'content': 'Promptly on the tenth of the month, the bills were mailed.', 'role': 'assistant'}]"
